사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-09,2호선,0229,봉천,100,7,"16,208","1,436","32,303","7,296","92,623","13,938","131,602","29,641","79,221","23,264","44,191","21,246","35,555","23,589","37,795","24,930","37,209","27,016","33,144","30,399","30,245","39,270","33,288","46,638","34,412","61,844","34,986","97,858","21,626","78,233","16,998","49,048","14,458","45,683","11,118","41,932","4,823","23,621",921,"8,210",1,280,1,1,0,0,2025-10-03 10:13:02
2025-09,2호선,0230,신림,208,8,"38,448","4,154","73,319","18,482","200,006","30,857","287,415","47,931","172,639","43,424","94,306","41,763","78,172","43,690","82,490","49,902","76,905","56,619","69,913","63,573","68,611","80,823","74,641","101,444","75,715","140,186","78,936","231,938","53,662","199,184","44,294","133,870","40,269","125,496","34,436","117,598","19,643","73,338","4,537","23,244",11,787,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0231,신대방,378,3,"25,795","1,949","37,013","9,423","97,507","16,162","137,449","25,459","84,119","18,480","45,378","18,201","36,208","19,273","37,141","22,355","34,251","26,362","29,981","29,407","30,231","40,615","32,901","47,857","35,089","62,970","31,561","95,929","20,552","81,113","15,525","57,132","12,968","58,417","10,012","55,132","4,786","30,807",972,"9,298",1,325,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0232,구로디지털단지,540,15,"39,944","4,728","56,218","21,123","148,433","89,180","194,204","231,866","118,577","147,407","70,728","62,536","63,018","46,678","71,553","52,616","67,562","66,308","62,477","61,171","71,538","68,959","87,378","83,410","142,663","113,357","208,982","168,925","102,635","132,598","63,225","88,911","50,913","87,105","39,518","81,743","18,262","47,932","3,549","14,315",4,343,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0233,대림(구로구청),865,12,"35,203","3,301","31,455","11,057","72,686","24,917","98,650","57,367","64,934","35,415","40,302","33,175","34,990","34,533","37,189","33,780","35,457","33,090","32,981","34,479","35,421","42,651","38,421","50,204","44,785","63,458","51,157","71,223","26,134","53,243","18,602","41,615","13,774","50,394","10,472","46,975","5,176","22,661",889,"5,469",3,284,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0234,신도림,"4,728",14,"38,719","5,551","60,692","20,939","153,180","45,863","159,014","112,004","96,589","74,695","66,433","58,331","63,099","58,313","71,246","61,356","71,869","66,069","72,762","63,892","76,086","74,720","84,024","88,321","105,566","116,088","122,417","171,107","70,438","120,570","55,431","77,231","51,905","73,747","41,503","70,289","20,147","47,038","2,704","21,336",25,"2,759",0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0235,문래,18,0,"4,410","3,155","15,979","12,361","48,869","44,015","54,549","145,468","30,020","67,422","22,335","27,644","21,459","24,254","26,323","27,240","27,323","28,397","28,265","27,960","30,999","29,554","39,637","35,556","71,452","46,359","119,139","70,140","43,841","45,211","31,080","24,701","32,317","22,152","29,501","19,024","12,277","10,747","2,425","3,929",5,90,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0236,영등포구청,57,1,"5,408","3,767","14,868","15,325","45,127","43,536","55,817","136,296","34,279","58,755","24,961","30,264","26,510","26,546","29,757","26,757","30,862","30,086","31,290","28,503","34,243","29,129","42,009","33,249","66,477","43,234","110,115","64,673","40,297","42,554","30,475","25,588","27,057","23,838","19,479","21,496","8,807","13,052","1,849","5,157",2,137,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0237,당산,67,11,"8,637","4,195","20,643","16,811","50,924","32,122","63,720","81,501","37,826","34,778","27,026","17,225","24,775","16,864","25,054","20,016","23,876","22,845","21,407","22,671","23,736","27,837","30,727","36,522","45,142","54,253","60,999","81,255","28,635","53,833","23,600","36,481","22,235","34,688","17,984","31,734","8,895","19,066","1,525","5,579",7,144,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0238,합정,136,6,"10,509","3,311","18,702","14,477","42,525","33,889","54,376","98,279","36,062","91,180","28,506","55,191","31,094","49,700","37,228","53,879","41,451","58,135","43,093","53,246","48,859","56,688","57,138","67,334","79,201","87,883","116,846","117,994","79,630","80,679","66,272","45,694","72,709","37,333","68,829","32,452","34,674","22,191","6,092","8,438",8,274,0,0,0,0,2025-10-03 10:13:02
